seed,step
1210,1
1211,6
1212,4
1213,25
1214,12
1215,13
1216,2
1217,1
1218,1
1219,14
1220,9
1221,19
1222,6
1223,9
1224,5
1225,7
1226,6
1227,12
1228,17
1229,4
1230,4
1231,1
1232,2
1233,5
1234,10
1235,9
1236,3
1237,2
1238,15
1239,1
1240,18
1241,1
1242,22
1243,3
1244,3
1245,3
1246,1
1247,6
1248,4
1249,6
1250,3
1251,4
1252,16
1253,15
1254,13
1255,2
1256,5
1257,3
1258,23
1259,21
1260,2
1261,2
1262,4
1263,5
1264,13
1265,10
1266,3
1267,7
1268,1
1269,5
1270,1
1271,11
1272,9
1273,6
1274,3
1275,27
1276,8
1277,1
1278,1
1279,2
1280,3
1281,1
1282,5
1283,3
1284,9
1285,1
1286,27
1287,1
1288,2
1289,1
1290,4
1291,18
1292,3
1293,6
1294,3
1295,18
1296,5
1297,8
1298,4
1299,12
1300,10
1301,16
1302,13
1303,8
1304,7
1305,6
1306,9
1307,2
1308,2
1309,1
1310,10
1311,1
1312,25
1313,1
1314,1
1315,3
1316,7
1317,13
1318,6
1319,2
1320,5
1321,1
1322,5
1323,50
1324,12
1325,5
1326,2
1327,8
1328,3
1329,11
1330,20
1331,15
1332,2
1333,5
1334,6
1335,26
1336,32
1337,2
1338,1
1339,2
1340,9
1341,12
1342,4
1343,1
1344,22
1345,6
1346,7
1347,1
1348,3
1349,8
1350,9
1351,1
1352,19
1353,13
1354,5
1355,5
1356,18
1357,9
1358,23
1359,16
1360,3
1361,17
1362,18
1363,18
1364,7
1365,6
1366,1
1367,1
1368,13
1369,1
1370,6
1371,8
1372,6
1373,2
1374,8
1375,1
1376,14
1377,1
1378,9
1379,2
1380,9
1381,1
1382,7
1383,9
1384,8
1385,4
1386,7
1387,20
1388,9
1389,7
1390,12
1391,4
1392,3
1393,9
1394,34
1395,20
1396,10
1397,17
1398,8
1399,9
1400,2
1401,4
1402,5
1403,7
1404,1
1405,24
1406,4
1407,32
1408,2
1409,7
1410,9
1411,8
1412,3
1413,19
1414,7
1415,1
1416,17
1417,3
1418,6
1419,5
1420,14
1421,7
1422,2
1423,5
1424,25
1425,3
1426,3
1427,2
1428,1
1429,8
1430,2
1431,18
1432,5
1433,7
1434,15
1435,21
1436,4
1437,15
1438,3
1439,5
1440,1
1441,12
1442,14
1443,1
1444,9
1445,1
1446,8
1447,10
1448,2
1449,1
1450,2
1451,12
1452,4
1453,8
1454,1
1455,3
1456,4
1457,1
1458,2
1459,7
1460,12
1461,11
1462,6
1463,16
1464,5
1465,13
1466,3
1467,6
1468,28
1469,3
1470,1
1471,12
1472,3
1473,4
1474,13
1475,8
1476,12
1477,3
1478,3
1479,3
1480,2
1481,8
1482,35
1483,7
1484,1
1485,9
1486,16
1487,8
1488,1
1489,19
1490,16
1491,3
1492,10
1493,3
1494,7
1495,4
1496,4
1497,2
1498,2
1499,1
1500,10
1501,3
1502,14
1503,5
1504,18
1505,5
1506,24
1507,4
1508,3
1509,3
1510,35
1511,6
1512,6
1513,8
1514,3
1515,1
1516,1
1517,3
1518,1
1519,22
1520,4
1521,1
1522,11
1523,1
1524,17
1525,44
1526,22
1527,15
1528,7
1529,1
1530,13
1531,1
1532,1
1533,2
1534,7
1535,2
1536,44
1537,4
1538,8
1539,15
1540,5
1541,9
1542,4
1543,8
1544,22
1545,15
1546,2
1547,10
1548,5
1549,2
1550,1
1551,4
1552,8
1553,2
1554,4
1555,5
1556,5
1557,27
1558,6
1559,23
1560,3
1561,22
1562,2
1563,1
1564,2
1565,16
1566,1
1567,7
1568,1
1569,2
1570,6
1571,2
1572,3
1573,13
1574,9
1575,6
1576,7
1577,4
1578,2
1579,7
1580,19
1581,5
1582,6
1583,7
1584,4
1585,23
1586,11
1587,27
1588,28
1589,11
1590,3
1591,5
1592,12
1593,3
1594,7
1595,19
1596,3
1597,11
1598,12
1599,4
1600,11
1601,17
1602,11
1603,9
1604,2
1605,5
1606,13
1607,6
1608,3
1609,12
1610,12
1611,4
1612,3
1613,14
1614,1
1615,6
1616,5
1617,1
1618,5
1619,2
1620,9
1621,12
1622,7
1623,2
1624,1
1625,2
1626,6
1627,34
1628,14
1629,2
1630,4
1631,11
1632,9
1633,11
1634,6
1635,10
1636,9
1637,6
1638,10
1639,5
1640,3
1641,6
1642,8
1643,2
1644,4
1645,16
1646,13
1647,11
1648,37
1649,1
1650,1
1651,4
1652,9
1653,1
1654,15
1655,7
1656,2
1657,13
1658,6
1659,11
1660,6
1661,3
1662,3
1663,2
1664,2
1665,1
1666,15
1667,10
1668,8
1669,6
1670,6
1671,23
1672,6
1673,21
1674,4
1675,1
1676,3
1677,28
1678,4
1679,11
1680,11
1681,37
1682,11
1683,1
1684,3
1685,2
1686,3
1687,4
1688,4
1689,3
1690,7
1691,1
1692,6
1693,9
1694,8
1695,6
1696,1
1697,3
1698,10
1699,1
1700,14
1701,13
1702,12
1703,19
1704,1
1705,3
1706,1
1707,5
1708,10
1709,11
1710,10
1711,18
1712,1
1713,1
1714,9
1715,5
1716,15
1717,17
1718,1
1719,6
1720,4
1721,6
1722,1
1723,23
1724,1
1725,1
1726,2
1727,1
1728,4
1729,38
1730,9
1731,4
1732,43
1733,38
1734,2
1735,18
1736,8
1737,13
1738,5
1739,1
1740,20
1741,1
1742,4
1743,8
1744,8
1745,11
1746,10
1747,20
1748,1
1749,4
1750,1
1751,4
1752,8
1753,5
1754,1
1755,1
1756,1
1757,2
1758,1
1759,9
1760,11
1761,1
1762,5
1763,6
1764,10
1765,2
1766,12
1767,2
1768,2
1769,8
1770,4
1771,20
1772,2
1773,2
1774,1
1775,2
1776,2
1777,7
1778,3
1779,9
1780,7
1781,1
1782,19
1783,5
1784,1
1785,2
1786,10
1787,18
1788,4
1789,4
1790,1
1791,5
1792,26
1793,6
1794,4
1795,2
1796,5
1797,5
1798,9
1799,17
1800,15
1801,4
1802,5
1803,12
1804,1
1805,34
1806,5
1807,8
1808,7
1809,2
1810,6
1811,2
1812,3
1813,2
1814,19
1815,1
1816,7
1817,7
1818,7
1819,12
1820,4
1821,2
1822,4
1823,5
1824,5
1825,1
1826,1
1827,1
1828,2
1829,5
1830,4
1831,4
1832,6
1833,4
1834,21
1835,19
1836,5
1837,19
1838,4
1839,6
1840,3
1841,22
1842,6
1843,51
1844,11
1845,4
1846,4
1847,14
1848,11
1849,4
1850,11
1851,8
1852,10
1853,7
1854,4
1855,4
1856,22
1857,20
1858,3
1859,3
1860,3
1861,3
1862,16
1863,2
1864,5
1865,10
1866,2
1867,1
1868,5
1869,4
1870,4
1871,9
1872,6
1873,7
1874,10
1875,2
1876,4
1877,1
1878,1
1879,16
1880,3
1881,5
1882,4
1883,5
1884,16
1885,9
1886,2
1887,12
1888,8
1889,10
1890,16
1891,2
1892,2
1893,4
1894,6
1895,9
1896,5
1897,4
1898,23
1899,11
1900,2
1901,16
1902,4
1903,9
1904,3
1905,2
1906,11
1907,9
1908,9
1909,3
1910,8
1911,2
1912,13
1913,3
1914,1
1915,20
1916,13
1917,15
1918,17
1919,4
1920,1
1921,2
1922,13
1923,5
1924,12
1925,1
1926,1
1927,31
1928,12
1929,6
1930,2
1931,1
1932,3
1933,23
1934,1
1935,5
1936,7
1937,1
1938,7
1939,11
1940,5
1941,1
1942,17
1943,17
1944,8
1945,2
1946,7
1947,1
1948,4
1949,13
1950,1
1951,10
1952,6
1953,12
1954,5
1955,19
1956,15
1957,8
1958,16
1959,37
1960,9
1961,4
1962,3
1963,2
1964,17
1965,8
1966,5
1967,6
1968,7
1969,8
1970,6
1971,5
1972,1
1973,5
1974,5
1975,6
1976,7
1977,2
1978,8
1979,3
1980,9
1981,1
1982,1
1983,6
1984,13
1985,4
1986,4
1987,10
1988,10
1989,5
1990,5
1991,1
1992,5
1993,5
1994,10
1995,4
1996,2
1997,6
1998,26
1999,2
2000,1
2001,3
2002,5
2003,4
2004,13
2005,5
2006,4
2007,2
2008,2
2009,2
2010,7
2011,1
2012,5
2013,6
2014,10
2015,14
2016,18
2017,5
2018,14
2019,17
2020,3
2021,7
2022,2
2023,18
2024,2
2025,4
2026,27
2027,1
2028,4
2029,10
2030,11
2031,10
2032,1
2033,8
2034,22
2035,14
2036,16
2037,5
2038,10
2039,18
2040,1
2041,2
2042,10
2043,13
2044,4
2045,18
2046,15
2047,1
2048,4
2049,1
2050,29
2051,4
2052,19
2053,21
2054,1
2055,24
2056,2
2057,21
2058,4
2059,7
2060,4
2061,25
2062,6
2063,27
2064,19
2065,6
2066,6
2067,18
2068,8
2069,7
2070,14
2071,12
2072,4
2073,4
2074,5
2075,15
2076,5
2077,1
2078,11
2079,3
2080,12
2081,6
2082,1
2083,17
2084,15
2085,5
2086,27
2087,6
2088,7
2089,8
2090,3
2091,3
2092,3
2093,13
2094,1
2095,12
2096,5
2097,5
2098,2
2099,2
2100,4
2101,5
2102,9
2103,12
2104,3
2105,7
2106,1
2107,1
2108,24
2109,2
2110,6
2111,6
2112,14
2113,1
2114,8
2115,13
2116,15
2117,4
2118,7
2119,1
2120,5
2121,1
2122,4
2123,10
2124,2
2125,4
2126,18
2127,6
2128,4
2129,6
2130,26
2131,6
2132,9
2133,9
2134,3
2135,16
2136,17
2137,6
2138,24
2139,5
2140,1
2141,8
2142,2
2143,6
2144,11
2145,5
2146,32
2147,2
2148,4
2149,1
2150,32
2151,23
2152,3
2153,1
2154,3
2155,13
2156,18
2157,5
2158,14
2159,1
2160,39
2161,11
2162,2
2163,7
2164,7
2165,1
2166,5
2167,2
2168,1
2169,22
2170,3
2171,23
2172,15
2173,6
2174,9
2175,16
2176,14
2177,4
2178,10
2179,8
2180,1
2181,2
2182,7
2183,3
2184,10
2185,5
2186,5
2187,14
2188,5
2189,8
2190,6
2191,2
2192,11
2193,5
2194,7
2195,7
2196,9
2197,19
2198,6
2199,1
2200,2
2201,2
2202,2
2203,11
2204,27
2205,1
2206,2
2207,8
2208,14
2209,7
2210,19
2211,6
2212,26
2213,16
2214,10
2215,3
2216,4
2217,2
2218,3
2219,25
2220,1
2221,5
2222,5
2223,4
2224,4
2225,2
2226,3
2227,2
2228,9
2229,18
2230,6
2231,18
2232,10
2233,5
2234,2
2235,10
2236,7
2237,6
2238,8
2239,2
2240,2
2241,15
2242,7
2243,1
2244,4
2245,2
2246,15
2247,4
2248,8
2249,7
2250,4
2251,5
2252,4
2253,11
2254,9
2255,15
2256,5
2257,1
2258,5
2259,33
2260,3
2261,10
2262,13
2263,5
2264,7
2265,4
2266,5
2267,3
2268,5
2269,17
2270,1
2271,5
2272,1
2273,6
2274,2
2275,6
2276,6
2277,4
2278,8
2279,1
2280,13
2281,1
2282,12
2283,1
2284,20
2285,51
2286,5
2287,5
2288,3
2289,5
2290,4
2291,5
2292,8
2293,1
2294,2
2295,4
2296,7
2297,5
2298,25
2299,6
2300,5
2301,2
2302,10
2303,1
2304,6
2305,7
2306,2
2307,20
2308,8
2309,3
2310,3
2311,13
2312,8
2313,12
2314,8
2315,19
2316,6
2317,2
2318,16
2319,4
2320,23
2321,7
2322,5
2323,4
2324,5
2325,10
2326,19
2327,1
2328,4
2329,9
2330,1
2331,25
2332,7
2333,21
2334,2
2335,36
2336,4
2337,11
2338,9
2339,1
2340,4
2341,18
2342,5
2343,1
2344,2
2345,7
2346,1
2347,7
2348,10
2349,1
2350,2
2351,1
2352,10
2353,5
2354,18
2355,5
2356,1
2357,10
2358,8
2359,7
2360,1
2361,2
2362,10
2363,3
2364,1
2365,5
2366,1
2367,3
2368,7
2369,3
2370,6
2371,5
2372,29
2373,7
2374,5
2375,6
2376,1
2377,8
2378,6
2379,4
2380,6
2381,5
2382,20
2383,3
2384,28
2385,15
2386,8
2387,1
2388,5
2389,1
2390,10
2391,11
2392,6
2393,15
2394,2
2395,5
2396,9
2397,4
2398,9
2399,2
2400,1
2401,13
2402,3
2403,1
2404,21
2405,3
2406,2
2407,6
2408,4
2409,39
2410,4
2411,1
2412,5
2413,1
2414,3
2415,1
2416,6
2417,5
2418,4
2419,4
2420,1
2421,2
2422,5
2423,1
2424,7
2425,11
2426,1
2427,7
2428,7
2429,12
2430,21
2431,3
2432,35
2433,20
2434,8
2435,9
2436,10
2437,17
2438,4
2439,2
2440,4
2441,11
2442,27
2443,19
2444,4
2445,40
2446,5
2447,11
2448,1
2449,5
2450,1
2451,7
2452,3
2453,3
2454,8
2455,2
2456,11
2457,19
2458,4
2459,17
2460,8
2461,13
2462,6
2463,4
2464,13
2465,10
2466,4
2467,26
2468,3
2469,3
2470,32
2471,18
2472,5
2473,6
2474,8
2475,7
2476,13
2477,5
2478,14
2479,1
2480,15
