material_system,plot_x_hr,has_blue_marker,overpotential_corrected_avg
RuOx,59.5,False,0.3873182999273997
RuOx,71.5,False,0.3892174210407686
RuOx,83.5,True,0.3933397088394216
RuOx,95.5,False,0.388878177656801
RuOx,107.5,False,0.3823135279231465
RuOx,119.5,False,0.3789409301983499
RuOx,131.5,False,0.3846631421579335
RuOx,143.5,False,0.3877936389509986
RuOx,155.5,False,0.3860897293383568
RuOx,167.5,False,0.3916747027337006
RuOx,179.5,False,0.3881208209722855
RuOx,191.5,False,0.3926285814308661
RuOx,203.5,False,0.393885615397434
RuOx,215.5,False,0.392592837899305
RuOx,227.5,False,0.3946859553470195
RuOx,239.5,False,0.3940919693135826
RuOx,251.5,False,0.3894288588546488
RuOx,263.5,False,0.3928832456067158
RuOx,275.5,False,0.3917108251281763
RuOx,287.5,False,0.3909163703844945
RuOx,299.5,False,0.3907224421330348
RuOx,311.5,False,0.3940663648725899
RuOx,323.5,False,0.388690310034103
RuOx,335.5,False,0.396703056098389
RuOx,347.5,False,0.3952663648388816
RuOx,359.5,False,0.3996571777808074
RuOx,371.5,False,0.3993887210706733
RuOx,383.5,False,0.39964891759476
RuOx,395.5,False,0.40084380719334
RuOx,407.5,False,0.4017694009659166
RuOx,419.5,False,0.3997072558288355
RuOx,431.5,False,0.4039134340581904
RuOx,443.5,False,0.4026430183297129
RuOx,455.5,False,0.4069943158631376
RuOx,467.5,False,0.4074539314958449
RuOx,479.5,False,0.410506731382438
RuOx,491.5,False,0.4089837172617484
RuOx,503.5,False,0.4115981045921133
RuOx,515.5,False,0.4107608228852654
RuOx,527.5,False,0.4148217545405619
RuOx,539.5,False,0.4166982163271573
RuOx,551.5,False,0.4183995192574343
RuOx,563.5,False,0.4186988605318137
RuOx,575.5,False,0.4205401448258841
RuOx,587.5,False,0.4210152419933601
RuOx,599.5,False,0.4243668682805464
RuOx,611.5,False,0.4245339510923312
RuOx,623.5,False,0.4476301159360973
RuOx,635.5,False,0.4575428033496561
RuOx,647.5,False,0.4693703382587262
RuOx,659.5,False,0.4868127251443578
RuOx,661.2491666666666,False,0.4850309605655049
