composition,target_elements,anneal_T,overpotential_cp1_600s_mean,xrf_total_molar_change
"{'Co': 0.47341, 'Mn': 0.38088, 'Ti': 0.14571}","['Co', 'Mn', 'Ti']",700.0,0.8093564306259151,0.12221867091307012
"{'Co': 0.35584, 'Mn': 0.29992, 'Ti': 0.34423}","['Co', 'Mn', 'Ti']",700.0,0.8297333370208736,0.03968940066640539
"{'Co': 0.43231, 'Mn': 0.3607, 'Ti': 0.20699}","['Co', 'Mn', 'Ti']",700.0,0.8390494142532344,0.1329107808783768
"{'Co': 0.49422, 'Mn': 0.30295, 'Ti': 0.20283}","['Co', 'Mn', 'Ti']",700.0,0.8146552668571467,0.11993965479876734
"{'Co': 0.68884, 'Mn': 0.19001, 'Ti': 0.12115}","['Co', 'Mn', 'Ti']",700.0,0.7713783751487729,0.12367486853806497
"{'Co': 0.6682, 'Mn': 0.21082, 'Ti': 0.12098}","['Co', 'Mn', 'Ti']",700.0,0.7815923915863034,0.14717419075076665
"{'Co': 0.73559, 'Mn': 0.15397, 'Ti': 0.11044}","['Co', 'Mn', 'Ti']",700.0,0.7756373773574826,0.14980100745368347
"{'Co': 0.31337, 'Mn': 0.14006, 'Ti': 0.54657}","['Co', 'Mn', 'Ti']",700.0,0.8827192221641537,0.04318379893493557
"{'Co': 0.36852, 'Mn': 0.11295, 'Ti': 0.51853}","['Co', 'Mn', 'Ti']",700.0,0.8693658886909481,0.07707556084567735
"{'Co': 0.38629, 'Mn': 0.13813, 'Ti': 0.47559}","['Co', 'Mn', 'Ti']",700.0,0.8692539678573604,0.1238593198743265
"{'Co': 0.66201, 'Mn': 0.14621, 'Ti': 0.19178}","['Co', 'Mn', 'Ti']",700.0,0.8174554072380061,0.08223809045455033
"{'Co': 0.74099, 'Mn': 0.09936, 'Ti': 0.15965}","['Co', 'Mn', 'Ti']",700.0,0.8154421649932857,0.04812526921539417
"{'Co': 0.71411, 'Mn': 0.10079, 'Ti': 0.1851}","['Co', 'Mn', 'Ti']",700.0,0.7985449229240414,0.015571928086122289
"{'Co': 0.52929, 'Mn': 0.07406, 'Ti': 0.39666}","['Co', 'Mn', 'Ti']",700.0,0.8112798629760738,0.03998200137436331
"{'Co': 0.59292, 'Mn': 0.06815, 'Ti': 0.33893}","['Co', 'Mn', 'Ti']",700.0,0.7824600468635556,0.08257658314569938
"{'Co': 0.85661, 'Mn': 0.04923, 'Ti': 0.09416}","['Co', 'Mn', 'Ti']",700.0,0.7186637364387513,0.06933108137991156
"{'Co': 0.82021, 'Mn': 0.04888, 'Ti': 0.1309}","['Co', 'Mn', 'Ti']",700.0,0.7350101481437683,0.07495945927020475
"{'Co': 0.89163, 'Mn': 0.04283, 'Ti': 0.06554}","['Co', 'Mn', 'Ti']",700.0,0.7306123171806336,0.0484545714312179
"{'Co': 0.73931, 'Mn': 0.03869, 'Ti': 0.22201}","['Co', 'Mn', 'Ti']",700.0,0.7589842759132385,0.029000360575937523
"{'Co': 0.78039, 'Mn': 0.03562, 'Ti': 0.18398}","['Co', 'Mn', 'Ti']",700.0,0.744652725315094,0.08486091931096756
"{'Co': 0.80959, 'Mn': 0.03406, 'Ti': 0.15635}","['Co', 'Mn', 'Ti']",700.0,0.7302508436203002,0.04425686623583602
"{'Co': 0.22163, 'Mn': 0.64193, 'Ti': 0.13644}","['Co', 'Mn', 'Ti']",550.0,0.7964113101959228,0.1610509405598004
"{'Co': 0.28848, 'Mn': 0.59313, 'Ti': 0.11839}","['Co', 'Mn', 'Ti']",550.0,0.7621206197738647,0.17765151162387452
"{'Co': 0.33774, 'Mn': 0.54345, 'Ti': 0.11881}","['Co', 'Mn', 'Ti']",550.0,0.8622189173698425,0.11432997694717209
"{'Co': 0.24773, 'Mn': 0.41338, 'Ti': 0.33889}","['Co', 'Mn', 'Ti']",550.0,0.8679915151596069,0.052138313429438005
"{'Co': 0.19191, 'Mn': 0.47055, 'Ti': 0.33754}","['Co', 'Mn', 'Ti']",550.0,0.8587944469451904,0.08164999980013993
"{'Co': 0.25537, 'Mn': 0.4931, 'Ti': 0.25153}","['Co', 'Mn', 'Ti']",550.0,0.8588509259223938,0.09048114040374741
"{'Co': 0.35975, 'Mn': 0.46309, 'Ti': 0.17717}","['Co', 'Mn', 'Ti']",550.0,0.8696261010169982,0.07282686638910693
"{'Co': 0.50957, 'Mn': 0.34785, 'Ti': 0.14258}","['Co', 'Mn', 'Ti']",550.0,0.8231819806098938,0.07019473551288163
"{'Co': 0.59538, 'Mn': 0.27372, 'Ti': 0.1309}","['Co', 'Mn', 'Ti']",550.0,0.8711551604270934,0.00537785192914908
"{'Co': 0.32719, 'Mn': 0.26998, 'Ti': 0.40283}","['Co', 'Mn', 'Ti']",550.0,0.8360706839561461,0.04669643854910027
"{'Co': 0.34776, 'Mn': 0.34641, 'Ti': 0.30583}","['Co', 'Mn', 'Ti']",550.0,0.8953378186225891,0.016711696735080384
"{'Co': 0.39889, 'Mn': 0.29418, 'Ti': 0.30694}","['Co', 'Mn', 'Ti']",550.0,0.8401087079048156,0.025263495228801502
"{'Co': 0.56578, 'Mn': 0.26705, 'Ti': 0.16718}","['Co', 'Mn', 'Ti']",550.0,0.7826881418228149,0.018445888868916016
"{'Co': 0.55237, 'Mn': 0.28442, 'Ti': 0.16322}","['Co', 'Mn', 'Ti']",550.0,0.8003665575981139,0.009879108508855483
"{'Co': 0.62351, 'Mn': 0.22295, 'Ti': 0.15353}","['Co', 'Mn', 'Ti']",550.0,0.7681230053901672,0.0493475808240314
"{'Co': 0.33084, 'Mn': 0.1365, 'Ti': 0.53266}","['Co', 'Mn', 'Ti']",550.0,0.8569286499023437,0.011084731645021162
"{'Co': 0.50913, 'Mn': 0.14895, 'Ti': 0.34191}","['Co', 'Mn', 'Ti']",550.0,0.7806204209327697,0.03963977144232145
"{'Co': 0.57898, 'Mn': 0.11944, 'Ti': 0.30158}","['Co', 'Mn', 'Ti']",550.0,0.772791169643402,0.0720540685917003
"{'Co': 0.58552, 'Mn': 0.15702, 'Ti': 0.25746}","['Co', 'Mn', 'Ti']",550.0,0.7529839739799499,0.03344997105657449
"{'Co': 0.79973, 'Mn': 0.09325, 'Ti': 0.10702}","['Co', 'Mn', 'Ti']",550.0,0.722053602695465,0.07781039392471611
"{'Co': 0.83535, 'Mn': 0.06763, 'Ti': 0.09703}","['Co', 'Mn', 'Ti']",550.0,0.7324271521568297,0.07688076035147373
"{'Co': 0.73882, 'Mn': 0.07925, 'Ti': 0.18193}","['Co', 'Mn', 'Ti']",550.0,0.717247673034668,0.10054765308610114
"{'Co': 0.77316, 'Mn': 0.0754, 'Ti': 0.15144}","['Co', 'Mn', 'Ti']",550.0,0.7269054589271545,0.059124540518152635
"{'Co': 0.82207, 'Mn': 0.05399, 'Ti': 0.12393}","['Co', 'Mn', 'Ti']",550.0,0.7052057180404663,0.10556179548347425
