sample,two_theta,intensity
InMnPdOx_pre,19.0,5.104
InMnPdOx_pre,19.01,5.068
InMnPdOx_pre,19.02,5.098
InMnPdOx_pre,19.03,5.007
InMnPdOx_pre,19.04,5.082
InMnPdOx_pre,19.05,5.147
InMnPdOx_pre,19.06,5.197
InMnPdOx_pre,19.07,5.126
InMnPdOx_pre,19.08,4.933
InMnPdOx_pre,19.09,4.844
InMnPdOx_pre,19.1,4.874
InMnPdOx_pre,19.11,4.926
InMnPdOx_pre,19.12,5.036
InMnPdOx_pre,19.13,5.126
InMnPdOx_pre,19.14,5.137
InMnPdOx_pre,19.15,5.081
InMnPdOx_pre,19.16,5.138
InMnPdOx_pre,19.17,5.124
InMnPdOx_pre,19.18,5.133
InMnPdOx_pre,19.19,5.137
InMnPdOx_pre,19.2,5.027
InMnPdOx_pre,19.21,4.89
InMnPdOx_pre,19.22,4.921
InMnPdOx_pre,19.23,5.003
InMnPdOx_pre,19.24,4.96
InMnPdOx_pre,19.25,5.035
InMnPdOx_pre,19.26,5.259
InMnPdOx_pre,19.27,5.458
InMnPdOx_pre,19.28,5.46
InMnPdOx_pre,19.29,5.333
InMnPdOx_pre,19.3,5.26
InMnPdOx_pre,19.31,5.168
InMnPdOx_pre,19.32,5.086
InMnPdOx_pre,19.33,4.95
InMnPdOx_pre,19.34,4.995
InMnPdOx_pre,19.35,5.128
InMnPdOx_pre,19.36,5.149
InMnPdOx_pre,19.37,5.151
InMnPdOx_pre,19.38,5.096
InMnPdOx_pre,19.39,5.148
InMnPdOx_pre,19.4,5.126
InMnPdOx_pre,19.41,5.125
InMnPdOx_pre,19.42,5.078
InMnPdOx_pre,19.43,5.041
InMnPdOx_pre,19.44,5.002
InMnPdOx_pre,19.45,4.972
InMnPdOx_pre,19.46,5.031
InMnPdOx_pre,19.47,5.216
InMnPdOx_pre,19.48,5.197
InMnPdOx_pre,19.49,5.162
InMnPdOx_pre,19.5,5.201
InMnPdOx_pre,19.51,5.295
InMnPdOx_pre,19.52,5.194
InMnPdOx_pre,19.53,5.129
InMnPdOx_pre,19.54,5.115
InMnPdOx_pre,19.55,5.32
InMnPdOx_pre,19.56,5.414
InMnPdOx_pre,19.57,5.334
